FIPS,Latitude,Longitude,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
1001,32.536382,-86.64449,0.313,0.309,0.341
1003,30.659218,-87.746067,0.25,0.267,0.274
1005,31.87067,-85.405456,0.384,0.408,0.444
1007,33.015893,-87.127148,0.373,0.401,0.403
1009,33.977448,-86.567246,0.309,0.324,0.346
1011,32.101759,-85.717261,0.432,0.445,0.43
1013,31.751667,-86.681969,0.384,0.36,0.363
1015,33.771706,-85.822513,0.315,0.32,0.322
1017,32.917943,-85.391812,0.397,0.398,0.397
1019,34.069515,-85.654242,0.303,0.327,0.336
1021,32.85406,-86.726628,0.37,0.371,0.359
1023,31.991008,-88.248887,0.402,0.387,0.408
1025,31.685521,-87.818624,0.352,0.361,0.382
1027,33.267809,-85.862051,0.374,0.377,0.373
1029,33.671981,-85.516109,0.304,0.3,0.3
1031,31.402183,-85.989201,0.285,0.302,0.337
1033,34.703112,-87.801457,0.339,0.366,0.375
1035,31.428293,-86.992029,0.391,0.372,0.364
1037,32.931445,-86.243482,0.372,0.388,0.397
1039,31.243987,-86.448721,0.323,0.316,0.34
1041,31.732826,-86.319222,0.371,0.366,0.397
1043,34.131923,-86.869267,0.344,0.347,0.334
1045,31.430654,-85.609476,0.344,0.362,0.365
1047,32.33354,-87.114356,0.417,0.424,0.408
1049,34.460929,-85.803992,0.321,0.306,0.304
1051,32.597229,-86.142739,0.301,0.303,0.354
1053,31.121748,-87.168429,0.383,0.394,0.377
1055,34.047638,-86.03442,0.338,0.347,0.351
1057,33.732249,-87.752049,0.363,0.324,0.337
1059,34.441988,-87.842815,0.335,0.342,0.332
1061,31.090866,-85.824346,0.345,0.347,0.341
1063,32.844497,-87.964201,0.481,0.459,0.463
1065,32.752796,-87.623061,0.362,0.359,0.404
1067,31.516978,-85.239971,0.341,0.352,0.358
1069,31.158193,-85.296398,0.329,0.336,0.328
1071,34.763522,-85.9774,0.29,0.306,0.32
1073,33.553444,-86.896536,0.329,0.337,0.332
1075,33.787085,-88.087431,0.328,0.325,0.336
1077,34.904122,-87.650997,0.312,0.316,0.329
1079,34.529776,-87.321865,0.386,0.363,0.355
1081,32.604064,-85.353048,0.3,0.295,0.29
1083,34.810239,-86.9814,0.334,0.335,0.329
1085,32.147888,-86.650586,0.437,0.464,0.451
1087,32.387027,-85.692887,0.417,0.424,0.447
1089,34.764238,-86.55108,0.306,0.312,0.323
1091,32.247591,-87.791091,0.423,0.413,0.403
1093,34.138219,-87.881551,0.341,0.349,0.355
1095,34.309564,-86.321668,0.339,0.35,0.332
1097,30.684573,-88.196568,0.359,0.361,0.371
1099,31.580332,-87.383266,0.363,0.372,0.353
1101,32.203651,-86.203831,0.346,0.336,0.348
1103,34.454484,-86.846402,0.302,0.322,0.316
1105,32.639005,-87.293827,0.387,0.378,0.43
1107,33.296809,-88.096878,0.401,0.374,0.364
1109,31.798726,-85.941997,0.353,0.341,0.384
1111,33.296475,-85.464068,0.341,0.332,0.309
1113,32.289811,-85.18698,0.342,0.348,0.364
1115,33.712963,-86.315663,0.317,0.331,0.33
1117,33.262937,-86.678104,0.315,0.313,0.301
1119,32.597481,-88.200057,0.404,0.396,0.403
1121,33.369277,-86.175805,0.38,0.376,0.39
1123,32.863369,-85.799553,0.356,0.365,0.369
1125,33.290202,-87.52286,0.329,0.327,0.343
1127,33.791571,-87.301092,0.334,0.329,0.332
1129,31.406974,-88.202078,0.361,0.36,0.402
1131,31.99033,-87.302205,0.428,0.444,0.449
1133,34.155888,-87.364147,0.334,0.287,0.302
4001,35.385845,-109.493747,0.319,0.328,0.352
4003,31.881793,-109.75412,0.236,0.247,0.26
4005,35.829692,-111.773728,0.24,0.215,0.232
4007,33.789618,-110.81187,0.271,0.268,0.275
4009,32.931828,-109.87831,0.35,0.318,0.325
4011,33.238872,-109.242323,0.354,0.334,0.347
4012,33.727625,-114.038793,0.32,0.315,0.32
4013,33.346541,-112.495534,0.226,0.222,0.254
4015,35.717705,-113.749689,0.266,0.281,0.296
4017,35.390934,-110.320908,0.312,0.309,0.309
4019,32.128237,-111.783018,0.221,0.217,0.242
4021,32.91891,-111.367257,0.302,0.299,0.316
4023,31.525904,-110.84519,0.205,0.212,0.23
4025,34.630044,-112.573745,0.259,0.247,0.253
4027,32.773942,-113.910905,0.312,0.304,0.305
5001,34.289574,-91.376547,0.351,0.34,0.338
5003,33.190835,-91.772267,0.361,0.398,0.421
5005,36.28071,-92.330438,0.293,0.29,0.323
5007,36.337825,-94.256187,0.272,0.284,0.301
5009,36.304308,-93.079204,0.263,0.292,0.339
5011,33.463819,-92.168164,0.347,0.371,0.39
5013,33.56046,-92.513879,0.352,0.35,0.342
5015,36.337774,-93.541663,0.335,0.362,0.358
5017,33.267139,-91.297158,0.385,0.392,0.431
5019,34.053312,-93.176205,0.325,0.318,0.343
5021,36.367302,-90.418704,0.317,0.327,0.337
5023,35.566288,-92.059974,0.28,0.312,0.318
5025,33.893201,-92.188714,0.354,0.367,0.357
5027,33.21507,-93.226901,0.37,0.381,0.364
5029,35.265702,-92.689248,0.397,0.391,0.397
5031,35.828268,-90.630411,0.34,0.364,0.364
5033,35.583041,-94.236224,0.377,0.361,0.351
5035,35.211878,-90.315331,0.382,0.384,0.388
5037,35.291259,-90.773894,0.375,0.377,0.379
5039,33.967823,-92.653999,0.325,0.362,0.362
5041,33.828748,-91.244427,0.365,0.388,0.396
5043,33.587242,-91.722778,0.319,0.308,0.343
5045,35.146356,-92.324654,0.3,0.289,0.332
5047,35.508573,-93.887672,0.352,0.368,0.371
5049,36.383443,-91.819239,0.319,0.32,0.329
5051,34.578861,-93.146915,0.309,0.31,0.323
5053,34.288063,-92.423984,0.358,0.366,0.383
5055,36.119922,-90.565241,0.339,0.341,0.312
5057,33.728611,-93.665809,0.391,0.412,0.403
5059,34.315177,-92.944147,0.326,0.325,0.347
5061,34.083179,-93.990988,0.369,0.373,0.357
5063,35.737499,-91.559942,0.309,0.34,0.372
